id;content;rating;votes;author;date_created;date_updated
1;Agent;55829;90041;deposit B2B cross-media;2019-11-25T00:25:42;2019-11-24T21:31:53
2;SCSI drive THX;85092;8413;Cheese Dynamic Home Loan Account;2019-11-25T17:37:49;2019-11-25T08:54:59
3;Branding;97366;506;Gloves;2019-11-25T04:40:54;2019-11-25T06:11:47
4;Ports Manager Fish;1807;23724;circuit navigate;2019-11-25T02:15:36;2019-11-24T23:59:28
5;alarm local area network Benin;50881;36771;dedicated Persevering;2019-11-24T18:29:57;2019-11-24T18:21:28
6;Cambridgeshire Investor;43439;79481;Borders North Dakota;2019-11-25T06:01:51;2019-11-24T21:06:41
7;Re-contextualized;49919;28077;Shoes deposit;2019-11-25T13:36:02;2019-11-24T17:58:56
8;Villages uniform PCI;74771;1545;Tactics architectures Planner;2019-11-24T18:43:28;2019-11-24T18:19:24
9;Incredible functionalities fuchsia;26847;31692;Pants Maryland;2019-11-24T19:23:01;2019-11-24T21:35:25
10;Intranet Ergonomic Concrete Soap Zambian Kwacha;35864;14008;Bedfordshire;2019-11-24T20:47:40;2019-11-25T10:06:36
